"","document","MLS","C_per_S","DC_per_C","DC_per_S","Coord_per_C","Coord_per_S","CN_per_C","CN_per_S"
"1","text 12",41.5774647887324,3.67605633802817,0.888888888888889,3.26760563380282,1,3.67605633802817,1.44444444444444,5.30985915492958
"2","text 21",43.6166666666667,2.66666666666667,0.84375,2.25,2.31875,6.18333333333333,2.83125,7.55
