"doc_title","word","tfidf"
"text21","lion-key",23.1493732122991
"text21","stairs",15.9530247384822
"text21","edmond",8.17036701610556
"text21","wiseman",7.96145923168137
"text21","key",6.83701060220667
"text21","defendant",5.50365418830779
"text21","wharfige",5.44691134407037
"text21","london-bridge",5.44691134407037
"text21","surveyors",5.44691134407037
"text21","thames",5.31767491282741
"text21","enrolled",5.30763948778758
"text21","wharves",5.30763948778758
"text21","wharf",5.30348920176806
"text21","keys",4.55800706813778
"text21","defendants",4.24279136141445
