"doc_title","word","tfidf"
"text23","labor",1071.30481875715
"text23","capital",383.409816761505
"text23","revenue",316.918753676724
"text23","expense",257.295833303389
"text23","system",246.472738319184
"text23","productive",238.302371303079
"text23","century",211.067814582727
"text23","rent",210.056134853747
"text23","tax",195.592956757569
"text23","frequently",194.769433093258
"text23","britain",192.702913909244
"text23","colonies",190.829543502301
"text23","annual",186.744507402864
"text23","british",183.833257862375
