"","doc_title","total_pos","total_neg","net_sentiment","tfidf_positive","tfidf_negative","net_sentiment_tfidf"
"1","Text A",365,256,109,0.00508432642304021,0.0073386975728788,-0.00225437114983858
"2","Text B",344,281,63,0.011514364779781,0.0162607441546526,-0.00474637937487155
